Terme anglais;Terme français;Variant anglais;Variant français;Definition anglaise;Définition française;Note anglaise;Note française;Terme lié
abbreviation;abréviation;;;;;;;
AbLang;AbLang;;;A language model for antibodies (https://github.com/oxpig/AbLang).;Modèle de langue sur les anticorps. (Loterre);;;
ablation study;étude d'ablation;;;An ablation study investigates the performance of an AI system by removing certain components to understand the contribution of the component to the overall system. (Wikipedia);;;;
ablative;ablatif;ablative form;cas ablatif;;;;;
ABNER;ABNER;;;An open source software tool for molecular biology text analysis (genes, proteins tagging...). (Loterre);Outil logiciel open source pour l'analyse de textes en biologie moléculaire (marquage de gènes, protéines...). (Loterre);;;
absolute accusative;accusatif absolu;;;;;;;
absolute construction;construction absolue;;;;;;;
absolutive;absolutif;;cas absolutif;;;;;
abstract case;cas abstrait;;;;;;;
abstract categorial grammar;grammaire catégorielle abstraite;ACG;CGA;;;;;
abstract substantive;substantif abstrait;abstract noun;nom abstrait;;;;;
abstractive summarization;résumé par abstraction;;résumé automatique de texte par abstraction;Automatic reformulation of prominent concepts or ideas in a source text in clear language, often including words or sentences that do not exist in the source text. (Based on Cai et al., Integrating domain knowledge for biomedical text analysis into deep learning: A survey, 2023);Résumé automatique d'un texte utilisant de nouveaux mots ou des paraphrases.;;;
accent group;groupe accentuel;;;;;;;
accentual degree;degré accentuel;;;;;;;
acceptability judgement;jugement d'acceptabilité;;;;;;;
accusative;accusatif;;cas accusatif;;;;;
acoustic frequency;fréquence acoustique;;;;;;;
acronym;acronyme;;;;;;;
acronymization;siglaison;acronymisation;;;;;;
action recognition;reconnaissance de l'action;;reconnaissance d'actions;;;;;
activation function;fonction d'activation;transfer function;"fonction de transfert;fonction de seuillage;fonction de transfert9";A function that enables neural networks to learn nonlinear (complex) relationships between features and the label. (Google for Developers, Machine Learning Glossary);Fonction mathématique non- linéaire appliquée à un signal en sortie d'un neurone artificiel. (Data Franca);;;
active learning;apprentissage actif;;;A training approach in which the algorithm chooses some of the data it learns from. Instead of blindly seeking a diverse range of labeled examples, an active learning algorithm selectively seeks the particular range of examples it needs for learning. (Adapted from Google for Developers, Machine Learning Glossary);Modèle d’apprentissage semi-supervisé où un oracle (humain ou non) intervient au cours du processus. (Data Franca);;;
active;actif;"active conjugation;active verb form2active voice3";voix active;;;;;
Adaboost;Adaboost;adaptative boosting;boosting adaptatif;A statistical classification meta-algorithm used in conjunction with many other types of learning algorithms to improve performance. (Wikipedia, retrieved on 2021/07/07);Méta-algorithme de classification statistique utilisé conjointement avec de nombreux autres types d'algorithmes d'apprentissage pour améliorer les performances. (Wikipédia, récupéré le 07/07/2021);;;
Adam optimizer;optimiseur Adam;;;A variant of the stochastic gradient descent algorithm often used as the default algorithm in deep learning to improve the performance of deep neural network.;Méthode de descente de gradient stochastique basée sur l’adaptation des taux d’apprentissage pour chaque paramètre et particulièrement efficace pour les problèmes d’apprentissage profond. (D'après Boussik, Apprentissage profond non-supervisé : Application à la détection de situations anormales dans l’environnement du train autonome, 2023);;;
adaptive machine translation;traduction automatique adaptative;adaptive MT;TA adaptative;Machine translation that includes user feedback to improve translation quality. In a post-editing scenario, user corrections of machine translation output are thus continuously incorporated into translation models, reducing or eliminating repetitive error editing. (https://aclanthology.org/2021.ranlp-1.47/);Approche de traduction automatique où le système de traduction s'adapte à chaque nouvelle traduction en fonction des précédentes.;;;
additive regularization of topic models;régularisation additive de modèles de topiques;;;;;;;
adjective complement;complément de l'adjectif;;;;;;;
adjective phrase;syntagme adjectival;;groupe adjectival;;;;;
adjective;adjectif;;forme adjectivale;;Les adjectifs : Cette catégorie comprend les mots qui indiquent une qualité d’un nom ou d'un pronom. Quelques exemples incluent grand, bêtes, cinématographique, vertes, heureux, etc. Certains adjectifs peuvent introduire un nom sans déterminant, comme les adjectifs cardineaux (par ex., deux, seize, cent ) et ordinaux (par ex., troisième, vingt-et-unième) et certains autres adjectifs (par ex., autre, plusieurs, etc.). (Law, J., & McBride, A. F. (2023). Introduction à la linguistique française. https://edtechbooks.org/linguistique);;;
adjunct;adjoint;;;;;;;
adposition;adposition;;;;;;;
adverb of manner;adverbe de manière;manner adverb;;;;;;
adverb of modality;adverbe de modalité;;;;;;;
adverb of time;adverbe de temps;time adverb;;;;;;
adverb of utterance;adverbe d'énonciation;;;;;;;
adverb phrase;syntagme adverbial;;groupe adverbial;;;;;
adverb;adverbe;;;;;;;
adverbial construction;construction adverbiale;;;;;;;
adverbial phrase;complément circonstanciel;;;;;;;
adversarial attack;attaque antagoniste;adversarial training;"apprentissage antagoniste;attaque adverse;apprentissage adverse";A deliberate intent to mislead a machine learning or deep neural network model by introducing subtle, imperceptible interference to an input sample. This might result in the model drawing an incorrect conclusion confidently. (Based on Wang et al., Adversarial Attacks and Defenses in Machine Learning-Powered Networks: A Contemporary Survey, 2023);Petite perturbation humainement imperceptible de l’entrée d’un algorithme, construite pour tromper les meilleurs classifieurs d’apprentissage automatique. (Laurent Meunier, Adversarial attacks : a theoretical journey, 2022);;;
adversarial example;exemple adverse;;exemple antagoniste;Machine learning input sample formed by applying a small but intentionally worst-case perturbation to a clean example, such that the perturbed input causes a learned model to output an incorrect answer. (NIST, The Language of Trustworthy AI: An In-Depth Glossary of Terms, 2023);Exemple conçu spécialement pour provoquer une mauvaise performance ou une incohérence d'un modèle d'apprentissage automatique en apportant de légères modifications aux données d'entrée initialement cohérentes.;;;
affirmative sentence;phrase affirmative;affirmative;;;;;;
affix;affixe;;;;;;;
affixation;affixation;;;;;;;
affricate consonant;consonne affriquée;affricate;affriquée;;;;;
AFINN;AFINN;;;Python library for sentiment analysis. (Loterre);Bibliothèque Python d'analyse de sentiments. (Loterre);;;
AFNER;AFNER;;;A C++ named entity recognition system that uses machine learning techniques. It is customisable to various domains. It also allows for multiple and overlapping named entity labels. (Loterre);Système de reconnaissance d'entités nommées en C++ qui utilise des techniques d'apprentissage automatique. Il est adaptable à différents domaines. Il permet l'attribution d'étiquettes d'entités nommées multiples et chevauchantes. (Loterre);;;
agent;agent;;;;;;;
agentive;agentif;;;;;;;
agglomerative clustering;partitionnement agglomératif;agglomerative hierarchical clustering;"clustering agglomératif;partitionnement hiérarchique agglomératif";A bottom-up clustering process that start with each item being in its own cluster, and recursively merge the closest clusters till the requisite number of clusters is reached. (Based on Ackermann et al., Analysis of Agglomerative Clustering, 2011);Partitionnement hiérarchique qui part des nœuds de l'arbre de clusters et fusionne ensuite successivement les plus proches clusters jusqu'à obtenir un unique cluster racine contenant l'ensemble des objets. (Loterre);;;
agglutination;agglutination;;;;;;;
AI component;composant intelligent;;;;;;;
Aika;Aika;;;Java library that automatically extracts and annotates semantic information into text. (Loterre);Librairie Java qui extrait et annote automatiquement des informations sémantiques dans le texte. (Loterre);;;
ALBERT;ALBERT;A Lite Bidirectional Encoder Representations from Transformers##A little BERT;;A BERT architecture with fewer parameters. (Loterre);Une architecture BERT avec un nombre limité de paramètres. (Loterre);;;
alignment model;modèle d'alignement;;;A model that assigns alignment probabilities between words in the source and target languages. (Loterre);Modèle statistique qui vise à aligner des mots ou des phrases dans deux langues différentes, afin de créer une correspondance mot à mot ou phrase à phrase.;;;
alignment;alignement;matching;;The task/performance of identifying similar elements in two resources. (Loterre);Tâche/performance consistant à identifier des éléments similaires dans deux ressources. (Loterre);;;
alliteration;allitération;;;;;;;
allomorph;allomorphe;"morpheme alternant;morphemic alternant;allomorphic variant";;;;;;
